"","Basal.like","HER2.enriched","Luminal.A","Luminal.B","Contrib.Basal.like","Contrib.HER2.enriched","Contrib.Luminal.A","Contrib.Luminal.B","Contrib","GroupContrib","color","importance"
"MIR-934/934",1.93743037661512,-0.373519674910106,-0.420165294348332,-0.481434355187675,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.232305043655572
"MIR-577/577",1.75810632255383,-0.0219863703567977,-0.436325454411922,-0.448186457489775,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.226981105751657
"MIR-190B/190B",-1.49418350405838,-0.560633144197171,0.44733820842158,0.586908339851,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",0.191934026899807
"MIR-190B/3P",-1.49418350405838,-0.560633144197171,0.44733820842158,0.586908339851,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",0.191934026899807
"MIR-190B/5P",-1.49418350405838,-0.560633144197171,0.44733820842158,0.586908339851,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",0.191934026899807
"MIR-135B/135B*",1.68251927952714,0.0860696805795804,-0.401746924270267,-0.36669167619551,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.189421770332028
"MIR-135B/135B",1.68251927952714,0.0860696805795804,-0.401746924270267,-0.36669167619551,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.189421770332028
"MIR-135B/3P",1.68251927952714,0.0860696805795804,-0.401746924270267,-0.36669167619551,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.189421770332028
"MIR-135B/5P",1.68251927952714,0.0860696805795804,-0.401746924270267,-0.36669167619551,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.189421770332028
"MIR-18A/18A*",1.49898001110633,0.000704962405022446,-0.49574750581548,-0.067462888857986,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.152282910592069
"MIR-18A/18A",1.49898001110633,0.000704962405022446,-0.49574750581548,-0.067462888857986,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.152282910592069
"MIR-18A/3P",1.49898001110633,0.000704962405022446,-0.49574750581548,-0.067462888857986,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.152282910592069
"MIR-18A/18;18A",1.49898001110633,0.000704962405022446,-0.49574750581548,-0.067462888857986,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.152282910592069
