"","Basal.like","HER2.enriched","Luminal.A","Luminal.B","Contrib.Basal.like","Contrib.HER2.enriched","Contrib.Luminal.A","Contrib.Luminal.B","Contrib","GroupContrib","color","importance"
"MLPH",-2.09819671688923,0.247883909334436,0.48301163541124,0.452231569263818,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.278491700815146
"FOXA1",-2.23922211390366,0.317058038692448,0.440448287512242,0.433487111970418,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.276213423425628
"CA12",-1.86786451622863,-0.105422431603579,0.583954482640706,0.52403765890016,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.238666709519833
"GATA3",-1.6171615433244,0.0646407977068021,0.481914958478211,0.497842850715449,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",0.187670147642907
"AR",-1.86070971503121,0.500576980058249,0.484929927931847,0.448341353089981,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",0.180861169888911
"ESR1",-1.6054354235491,-0.893116976886725,0.543858512115801,0.607179609129059,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",0.177626565757814
"AGR2",-2.02790526329624,0.225628299559854,0.476302700314153,0.547779744355968,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",0.17529625402497
"CCNE1",1.60641742261619,0.194108782392481,-0.709995396681117,-0.120877124568546,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.174159784688891
"SLC44A4",-2.06123383413963,0.592146997279331,0.521416740462832,0.493262208322931,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",0.169928339006839
"TBC1D9",-1.73659802688874,-0.582993734724089,0.584312487005282,0.410676768209881,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.164100663674583
"AGR3",-1.96173461159978,0.053763288001701,0.557573697488862,0.619332755823758,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",0.163912956711246
"SPDEF",-2.16246471876376,0.650095799456923,0.345551575307427,0.380055742395492,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",0.152738101663963
"UGT8",2.17933788410615,-0.442740563949673,-0.383562632896855,-0.408072454404048,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.152525738738501
"SRSF12",2.01622479488283,-0.598199238210332,-0.341890103397347,-0.5511967644019,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.142695632340945
"B3GNT5",1.94398173307093,-0.31841041588492,-0.278327345754888,-0.409792666069887,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.14263673736561
"ART3",1.698740459431,-0.251110055100096,-0.433533064417519,-0.518467145749152,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.136740314338344
"ANXA9",-1.74188725357484,-0.085003827475086,0.423035275871065,0.592157224930902,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",0.136653492968641
"THSD4",-1.72658507064205,-0.709450623183624,0.49185793224197,0.410731620488519,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.132900406259843
"HORMAD1",2.2796235156222,-0.403312300904676,-0.431108097613625,-0.357284016537512,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.12703623019526
"ZMYND10",-1.66066059805136,-0.236763435538277,0.550392248817894,0.49119814135431,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.125682579249923
"MATN4",1.62244371377183,0.051379416743756,-0.493247002568699,-0.459423562079079,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.12163089423609
"PRR15",-1.86309522641874,0.507531379353812,0.376119037303384,0.419760512391428,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",0.121561016285009
"GABBR2",2.18543763425978,-0.104725354881663,-0.391703547665978,-0.330321471703429,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.11957683377533
"XBP1",-2.01379766508658,0.0748070969386396,0.320559913052897,0.583816071821566,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",0.119571787155246
"INPP4B",-1.61008316465681,-0.38403608089473,0.477187450069032,0.332869347569843,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.114751000151695
"TTLL4",1.754298802921,0.0135230699697067,-0.563856674653588,-0.303719366115382,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.113624034379631
"SLC7A8",-1.71833250980959,0.166251219531437,0.569061909419396,0.234370438976533,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.113275414956299
"STAC",1.78604967010478,-0.188762454578134,-0.349964419333762,-0.4502704731499,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.113249632203874
"PPP1R14C",1.76490546446074,-0.076155658206952,-0.338224771677538,-0.679576290530795,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.111040193701592
"FOXL1",2.10255437527168,-0.215385706650383,-0.300188392574361,-0.537201027592658,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.10848216815558
"VGLL1",2.1032653283927,-0.353126940149715,-0.43388804679114,-0.693586988299687,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.106687889712247
"FBP1",-1.95360124810177,-0.0404080336614933,0.380769017434664,0.550962620403943,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",0.105110591538924
"LPIN1",1.70274438533426,0.149466659024923,-0.455887066375256,-0.440866620173213,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.102314694340503
"SCUBE2",-1.58225000437449,-0.864190613577363,0.752580876465424,0.189052869204347,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.101843569843134
"SRARP",-1.79491049696639,0.62309082908081,0.686491032308486,0.415518659556489,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.0993726331336079
"P4HTM",-1.56497122289346,-0.313639388509224,0.429930758716438,0.503087767173794,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",0.0986215544226083
"CCDC170",-1.6421011663528,-1.04582695728494,0.509740789602749,0.384793244201993,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.0952836535686471
"FZD9",1.74003879432276,-0.152878202932604,-0.456171573736998,-0.518082376145127,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0913636895763832
"CHODL",1.98752221940212,-0.357787283344631,-0.348558792763945,-0.490486613418633,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0904896511244114
"PSAT1",1.71226686969814,0.265859955642198,-0.525874969000058,-0.609944081297014,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0883579729609933
"AMER1",1.6595806099693,0.115339775621188,-0.459806547971397,-0.334500374022542,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.084322735865588
"GPR160",-1.74276071156138,0.612629078339976,0.37591027789556,0.430717093867426,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",0.0843078877236799
"TFF3",-1.94603319223338,0.581509283185636,0.423369567761496,0.394699753019053,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",0.0826290920958263
"CENPW",1.4052696083881,0.59067012367139,-0.666520356560784,-0.0735789516999831,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0796377534438457
"SMIM14",-1.66218543949811,0.278185514421009,0.454975467796586,0.232571007366853,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.0791020601467957
"ROPN1",2.00975424922858,-0.44093333538021,-0.281228933018939,-0.689049410496484,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0745297643367032
"TSPAN1",-1.81667512855637,0.674229129455812,0.542142296458302,0.502741887666666,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",0.0734765989841418
