"","Basal.like","HER2.enriched","Luminal.A","Luminal.B","Contrib.Basal.like","Contrib.HER2.enriched","Contrib.Luminal.A","Contrib.Luminal.B","Contrib","GroupContrib","color","importance"
"SLC35B1",-0.234352286667681,0.839560498713051,-0.480452932780697,0.150520614749267,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0215414791440377
"DNA2",0.713616201192019,0.541320762050834,-0.670669967657938,0.27533967787663,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0210059101727444
"WDHD1",0.817575627686531,0.861639205449239,-0.639751235129212,0.362885088186872,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0209185641339169
"TPX2",1.13283908551185,0.505554689271362,-0.63179692146765,0.349612230940566,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0198793773540557
"SAPCD2",0.465704406695384,1.03985165003325,-0.61003212087869,0.00071802147027602,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0197303239360767
"POLE2",0.196126480705766,0.423189687098391,-0.417500383255862,0.588088615083814,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.0171726574860206
"FAM111B",0.170375565380414,0.886688088783179,-0.630929006072216,0.358890902104745,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0162075911076383
"SORBS1",-0.0314407301814668,-0.964175845030409,0.591467047559284,-0.439190636097143,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.0161662266519908
"WDR76",0.458498910228714,0.420331481489845,-0.512264580321518,0.518641525211175,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.0143083850741346
"RNASEH2A",0.738767619322044,0.509698281213353,-0.601913172100914,0.391506995536263,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0140937191114032
"SLC25A1",-0.143961749089533,1.01015377838353,-0.595084746475357,0.490121668707242,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0136894350839437
"ARHGAP11A",1.12665869112722,0.392613850930992,-0.658824439478682,0.326216378785721,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0102351197740162
"DBF4",0.807762043639796,0.611341991766777,-0.629078736164301,0.206576873564826,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.00899000476633558
"AMOTL2",0.458370077890083,-0.385627869806259,0.35864514107281,-0.322224475471955,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",0.00684273677553682
"RIBC2",-0.379689323007003,0.74277202410831,-0.400833335756859,0.55910484308659,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.00674487669265
"ARHGEF39",0.834630839020334,0.362711467463652,-0.664191204958966,0.310853876810445,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.00662118700317964
"KNTC1",0.513767916724137,0.347442979485433,-0.561592023336185,0.532096807814921,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.00387505509509554
"CDT1",1.23379436477248,0.453518774080648,-0.76700518683161,0.31607497873873,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.00307186714498874
"MCM2",1.0725116699379,0.139409745472164,-0.674352222983978,0.3782160779479,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.00243011042229803
"KIF11",1.01295628423628,0.557239382655033,-0.708372826305467,0.272614502354382,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.00240528608355425
"CCNF",0.226928085834645,0.324905662483425,-0.574191241336966,0.423755443081222,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.000850983177083908
"RGCC",0.834170438834014,-0.456647472599522,0.298363435624791,-0.440934330450499,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",0.000179690852697148
