"","Basal.like","HER2.enriched","Luminal.A","Luminal.B","Contrib.Basal.like","Contrib.HER2.enriched","Contrib.Luminal.A","Contrib.Luminal.B","Contrib","GroupContrib","color","importance"
"MIR-455/5P",1.46944247314476,-0.641042758870321,-0.132490909186139,-0.207225029492958,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",0.0422866883303139
"MIR-192/192*",0.236163117351921,0.870290139064318,-0.554070612500589,0.0445647885926749,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0362781913836438
"MIR-192/192",0.236163117351921,0.870290139064318,-0.554070612500589,0.0445647885926749,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0362781913836438
"MIR-192/3P",0.236163117351921,0.870290139064318,-0.554070612500589,0.0445647885926749,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0362781913836438
"MIR-192/5P",0.236163117351921,0.870290139064318,-0.554070612500589,0.0445647885926749,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0362781913836438
"MIR-193B/193B",-0.291528371658038,0.235535465619228,-0.100371314163729,0.559180489978722,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.02789211369598
"MIR-193B/3P",-0.291528371658038,0.235535465619228,-0.100371314163729,0.559180489978722,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.02789211369598
"MIR-193B/5P",-0.291528371658038,0.235535465619228,-0.100371314163729,0.559180489978722,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.02789211369598
"MIR-3615/3615",0.196135859834482,0.170275826138851,-0.302400657651116,0.246892514392671,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.0164981437857243
"MIR-16-1/1*",0.523603605963249,-0.0046771058024441,-0.274598291162089,0.327367757878614,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0164824960495716
"MIR-3200/3P",1.03346531705517,0.166591427203701,-0.578021198836107,0.222740468400998,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0163013879672349
"MIR-194-2/194*",0.238689190677778,0.619268934942377,-0.330797580835217,-0.0820741455632399,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0148562071505079
"MIR-99B/99B*",0.270947386593452,0.410081179696771,-0.3059582188505,0.09254804430295,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0032550900552811
"MIR-99B/99B",0.270947386593452,0.410081179696771,-0.3059582188505,0.09254804430295,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0032550900552811
"MIR-99B/3P",0.270947386593452,0.410081179696771,-0.3059582188505,0.09254804430295,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0032550900552811
"MIR-99B/5P",0.270947386593452,0.410081179696771,-0.3059582188505,0.09254804430295,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0032550900552811
